"code.source","code.target","Relationship","adjustment","group.id"
10110,10111,"1:n","2002 to 1996",1
10110,10120,"n:n","2002 to 1996",1
10190,10119,"1:n","2002 to 1996",1
10190,10120,"n:n","2002 to 1996",1
10210,10210,"1:1","2002 to 1996",NA
10290,10290,"1:1","2002 to 1996",NA
10310,10310,"1:1","2002 to 1996",NA
10391,10391,"1:1","2002 to 1996",NA
10392,10392,"1:1","2002 to 1996",NA
10410,10410,"1:1","2002 to 1996",NA
10420,10420,"1:1","2002 to 1996",NA
10511,10511,"1:1","2002 to 1996",NA
10512,10512,"1:1","2002 to 1996",NA
10519,10519,"1:1","2002 to 1996",NA
10592,10592,"1:1","2002 to 1996",NA
10593,10593,"1:1","2002 to 1996",NA
10599,10599,"1:1","2002 to 1996",NA
10611,10600,"n:1","2002 to 1996",NA
10612,10600,"n:1","2002 to 1996",NA
10619,10600,"n:1","2002 to 1996",NA
10620,10600,"n:1","2002 to 1996",NA
10631,10600,"n:1","2002 to 1996",NA
10632,10600,"n:1","2002 to 1996",NA
10639,10600,"n:1","2002 to 1996",NA
10690,10600,"n:1","2002 to 1996",NA
20110,20110,"1:1","2002 to 1996",NA
20120,20120,"1:1","2002 to 1996",NA
20130,20130,"1:1","2002 to 1996",NA
20210,20210,"1:1","2002 to 1996",NA
20220,20220,"1:1","2002 to 1996",NA
20230,20230,"1:1","2002 to 1996",NA
20311,20311,"1:1","2002 to 1996",NA
20312,20312,"1:1","2002 to 1996",NA
20319,20319,"1:1","2002 to 1996",NA
20321,20321,"1:1","2002 to 1996",NA
20322,20322,"1:1","2002 to 1996",NA
20329,20329,"1:1","2002 to 1996",NA
20410,20410,"1:1","2002 to 1996",NA
20421,20421,"1:1","2002 to 1996",NA
20422,20422,"1:1","2002 to 1996",NA
20423,20423,"1:1","2002 to 1996",NA
20430,20430,"1:1","2002 to 1996",NA
20441,20441,"1:1","2002 to 1996",NA
20442,20442,"1:1","2002 to 1996",NA
20443,20443,"1:1","2002 to 1996",NA
20450,20450,"1:1","2002 to 1996",NA
20500,20500,"1:1","2002 to 1996",NA
20610,20610,"1:1","2002 to 1996",NA
20621,20621,"1:1","2002 to 1996",NA
20622,20622,"1:1","2002 to 1996",NA
20629,20629,"1:1","2002 to 1996",NA
20630,20630,"1:1","2002 to 1996",NA
20641,20641,"1:1","2002 to 1996",NA
20649,20649,"1:1","2002 to 1996",NA
20680,20680,"1:1","2002 to 1996",NA
20690,20690,"1:1","2002 to 1996",NA
20711,20711,"1:1","2002 to 1996",NA
20712,20712,"1:1","2002 to 1996",NA
20713,20713,"1:1","2002 to 1996",NA
20714,20714,"1:1","2002 to 1996",NA
20724,20724,"1:1","2002 to 1996",NA
20725,20725,"1:1","2002 to 1996",NA
20726,20726,"1:1","2002 to 1996",NA
20727,20727,"1:1","2002 to 1996",NA
20732,20732,"1:1","2002 to 1996",NA
20733,20733,"1:1","2002 to 1996",NA
20734,20734,"1:1","2002 to 1996",NA
20735,20735,"1:1","2002 to 1996",NA
20736,20736,"1:1","2002 to 1996",NA
20810,20810,"1:1","2002 to 1996",NA
20820,20820,"1:1","2002 to 1996",NA
20830,20890,"n:1","2002 to 1996",NA
20840,20890,"n:1","2002 to 1996",NA
20850,20890,"n:1","2002 to 1996",NA
20890,20890,"n:1","2002 to 1996",NA
20900,20900,"1:1","2002 to 1996",NA
21011,21011,"1:1","2002 to 1996",NA
21012,21012,"1:1","2002 to 1996",NA
21019,21019,"1:1","2002 to 1996",NA
21020,21020,"1:1","2002 to 1996",NA
21091,21090,"n:1","2002 to 1996",NA
21092,21090,"n:1","2002 to 1996",NA
21093,21090,"n:1","2002 to 1996",NA
21099,21090,"n:1","2002 to 1996",NA
30110,30110,"1:1","2002 to 1996",NA
30191,30191,"1:1","2002 to 1996",NA
30192,30192,"1:1","2002 to 1996",NA
30193,30193,"1:1","2002 to 1996",NA
30199,30199,"1:1","2002 to 1996",NA
30211,30211,"1:1","2002 to 1996",NA
30212,30212,"1:1","2002 to 1996",NA
30219,30219,"1:1","2002 to 1996",NA
30221,30221,"1:1","2002 to 1996",NA
30222,30222,"1:1","2002 to 1996",NA
30223,30223,"1:1","2002 to 1996",NA
30229,30229,"1:1","2002 to 1996",NA
30231,30231,"1:1","2002 to 1996",NA
30232,30232,"1:1","2002 to 1996",NA
30233,30233,"1:1","2002 to 1996",NA
30234,30239,"n:1","2002 to 1996",NA
30235,30239,"n:1","2002 to 1996",NA
30236,30239,"n:1","2002 to 1996",NA
30239,30239,"n:1","2002 to 1996",NA
30240,30240,"1:1","2002 to 1996",NA
30250,30250,"1:1","2002 to 1996",NA
30261,30261,"1:1","2002 to 1996",NA
30262,30262,"1:1","2002 to 1996",NA
30263,30263,"1:1","2002 to 1996",NA
30264,30264,"1:1","2002 to 1996",NA
30265,30265,"1:1","2002 to 1996",NA
30266,30266,"1:1","2002 to 1996",NA
30269,30269,"1:1","2002 to 1996",NA
30270,30270,"1:1","2002 to 1996",NA
30311,30310,"n:1","2002 to 1996",NA
30319,30310,"n:1","2002 to 1996",NA
30321,30321,"1:1","2002 to 1996",NA
30322,30322,"1:1","2002 to 1996",NA
30329,30329,"1:1","2002 to 1996",NA
30331,30331,"1:1","2002 to 1996",NA
30332,30332,"1:1","2002 to 1996",NA
30333,30333,"1:1","2002 to 1996",NA
30339,30339,"1:1","2002 to 1996",NA
30341,30341,"1:1","2002 to 1996",NA
30342,30342,"1:1","2002 to 1996",NA
30343,30343,"1:1","2002 to 1996",NA
30344,30349,"n:1","2002 to 1996",NA
30345,30349,"n:1","2002 to 1996",NA
30346,30349,"n:1","2002 to 1996",NA
30349,30349,"n:1","2002 to 1996",NA
30350,30350,"1:1","2002 to 1996",NA
30360,30360,"1:1","2002 to 1996",NA
30371,30371,"1:1","2002 to 1996",NA
30372,30372,"1:1","2002 to 1996",NA
30373,30373,"1:1","2002 to 1996",NA
30374,30374,"1:1","2002 to 1996",NA
30375,30375,"1:1","2002 to 1996",NA
30376,30376,"1:1","2002 to 1996",NA
30377,30377,"1:1","2002 to 1996",NA
30378,30378,"1:1","2002 to 1996",NA
30379,30379,"1:1","2002 to 1996",NA
30380,30380,"1:1","2002 to 1996",NA
30410,30410,"1:1","2002 to 1996",NA
30420,30420,"1:1","2002 to 1996",NA
30490,30490,"1:1","2002 to 1996",NA
30510,30510,"1:1","2002 to 1996",NA
30520,30520,"1:1","2002 to 1996",NA
30530,30530,"1:1","2002 to 1996",NA
30541,30541,"1:1","2002 to 1996",NA
30542,30542,"1:1","2002 to 1996",NA
30549,30549,"1:1","2002 to 1996",NA
30551,30551,"1:1","2002 to 1996",NA
30559,30559,"1:1","2002 to 1996",NA
30561,30561,"1:1","2002 to 1996",NA
30562,30562,"1:1","2002 to 1996",NA
30563,30563,"1:1","2002 to 1996",NA
30569,30569,"1:1","2002 to 1996",NA
30611,30611,"1:1","2002 to 1996",NA
30612,30612,"1:1","2002 to 1996",NA
30613,30613,"1:1","2002 to 1996",NA
30614,30614,"1:1","2002 to 1996",NA
30619,30619,"1:1","2002 to 1996",NA
30621,30621,"1:1","2002 to 1996",NA
30622,30622,"1:1","2002 to 1996",NA
30623,30623,"1:1","2002 to 1996",NA
30624,30624,"1:1","2002 to 1996",NA
30629,30629,"1:1","2002 to 1996",NA
30710,30710,"1:1","2002 to 1996",NA
30721,30721,"1:1","2002 to 1996",NA
30729,30729,"1:1","2002 to 1996",NA
30731,30731,"1:1","2002 to 1996",NA
30739,30739,"1:1","2002 to 1996",NA
30741,30741,"1:1","2002 to 1996",NA
30749,30749,"1:1","2002 to 1996",NA
30751,30751,"1:1","2002 to 1996",NA
30759,30759,"1:1","2002 to 1996",NA
30760,30760,"1:1","2002 to 1996",NA
30791,30791,"1:1","2002 to 1996",NA
30799,30799,"1:1","2002 to 1996",NA
40110,40110,"1:1","2002 to 1996",NA
40120,40120,"1:1","2002 to 1996",NA
40130,40130,"1:1","2002 to 1996",NA
40210,40210,"1:1","2002 to 1996",NA
40221,40221,"1:1","2002 to 1996",NA
40229,40229,"1:1","2002 to 1996",NA
40291,40291,"1:1","2002 to 1996",NA
40299,40299,"1:1","2002 to 1996",NA
40310,40310,"1:1","2002 to 1996",NA
40390,40390,"1:1","2002 to 1996",NA
40410,40410,"1:1","2002 to 1996",NA
40490,40490,"1:1","2002 to 1996",NA
40510,40510,"1:1","2002 to 1996",NA
40520,40520,"1:1","2002 to 1996",NA
40590,40590,"1:1","2002 to 1996",NA
40610,40610,"1:1","2002 to 1996",NA
40620,40620,"1:1","2002 to 1996",NA
40630,40630,"1:1","2002 to 1996",NA
40640,40640,"1:1","2002 to 1996",NA
40690,40690,"1:1","2002 to 1996",NA
40700,40700,"1:1","2002 to 1996",NA
40811,40811,"1:1","2002 to 1996",NA
40819,40819,"1:1","2002 to 1996",NA
40891,40891,"1:1","2002 to 1996",NA
40899,40899,"1:1","2002 to 1996",NA
40900,40900,"1:1","2002 to 1996",NA
41000,41000,"1:1","2002 to 1996",NA
50100,50100,"1:1","2002 to 1996",NA
50210,50210,"1:1","2002 to 1996",NA
50290,50290,"1:1","2002 to 1996",NA
50300,50300,"1:1","2002 to 1996",NA
50400,50400,"1:1","2002 to 1996",NA
50510,50510,"1:1","2002 to 1996",NA
50590,50590,"1:1","2002 to 1996",NA
50610,50610,"1:1","2002 to 1996",NA
50690,50690,"1:1","2002 to 1996",NA
50710,50710,"1:1","2002 to 1996",NA
50790,50790,"1:1","2002 to 1996",NA
50800,50800,"1:1","2002 to 1996",NA
50900,50900,"1:1","2002 to 1996",NA
51000,51000,"1:1","2002 to 1996",NA
51110,51110,"1:1","2002 to 1996",NA
51191,51191,"1:1","2002 to 1996",NA
51199,51199,"1:1","2002 to 1996",NA
60110,60110,"1:1","2002 to 1996",NA
60120,60120,"1:1","2002 to 1996",NA
60210,60210,"1:1","2002 to 1996",NA
60220,60220,"1:1","2002 to 1996",NA
60230,60230,"1:1","2002 to 1996",NA
60240,60240,"1:1","2002 to 1996",NA
60290,60290,"1:1","2002 to 1996",NA
60310,60310,"1:1","2002 to 1996",NA
60390,60390,"1:1","2002 to 1996",NA
60410,60410,"1:1","2002 to 1996",NA
60491,60491,"1:1","2002 to 1996",NA
60499,60499,"1:1","2002 to 1996",NA
70110,70110,"1:1","2002 to 1996",NA
70190,70190,"1:1","2002 to 1996",NA
70200,70200,"1:1","2002 to 1996",NA
70310,70310,"1:1","2002 to 1996",NA
70320,70320,"1:1","2002 to 1996",NA
70390,70390,"1:1","2002 to 1996",NA
70410,70410,"1:1","2002 to 1996",NA
70420,70420,"1:1","2002 to 1996",NA
70490,70490,"1:1","2002 to 1996",NA
70511,70511,"1:1","2002 to 1996",NA
70519,70519,"1:1","2002 to 1996",NA
