"code.source","code.target","Relationship","adjustment","group.id"
2231,2249,"n:n","1988 to 1976",1
2231,9809,"n:n","1988 to 1976",1
2231,11102,"n:n","1988 to 1976",1
2232,223,"n:n","1988 to 1976",1
2232,730,"n:n","1988 to 1976",1
2232,2232,"1:1","1988 to 1976",NA
2232,2242,"n:n","1988 to 1976",1
2232,2243,"n:n","1988 to 1976",1
2232,2249,"n:n","1988 to 1976",1
2232,9809,"n:n","1988 to 1976",1
2232,11102,"n:n","1988 to 1976",1
2233,730,"n:n","1988 to 1976",1
2233,9809,"n:n","1988 to 1976",1
2234,2234,"1:1","1988 to 1976",NA
2235,2235,"1:1","1988 to 1976",NA
2237,2238,"n:1","1988 to 1976",NA
2239,2239,"1:1","1988 to 1976",NA
2241,223,"n:n","1988 to 1976",1
2241,2241,"n:n","1988 to 1976",1
2249,223,"n:n","1988 to 1976",1
2249,2241,"n:n","1988 to 1976",1
2249,2242,"n:n","1988 to 1976",1
2249,2243,"n:n","1988 to 1976",1
2249,2249,"n:n","1988 to 1976",1
2311,23201,"n:n","1988 to 1976",1
2311,62102,"n:n","1988 to 1976",1
2313,23203,"n:n","1988 to 1976",1
2313,62104,"n:n","1988 to 1976",1
2462,24603,"1:1","1988 to 1976",NA
2473,2479,"n:n","1988 to 1976",15
2473,24711,"n:n","1988 to 1976",15
2473,24712,"n:n","1988 to 1976",15
2473,24721,"n:n","1988 to 1976",15
2473,24722,"n:n","1988 to 1976",15
2474,2479,"n:n","1988 to 1976",15
2474,24601,"n:n","1988 to 1976",15
2474,24711,"n:n","1988 to 1976",15
2474,24712,"n:n","1988 to 1976",15
2482,24821,"n:n","1988 to 1976",1
2482,24822,"n:n","1988 to 1976",1
2482,63599,"n:n","1988 to 1976",1
2483,24822,"n:n","1988 to 1976",1
2483,63491,"n:n","1988 to 1976",1
2483,63492,"n:n","1988 to 1976",1
2483,63599,"n:n","1988 to 1976",1
2484,24831,"n:n","1988 to 1976",1
2484,24832,"n:n","1988 to 1976",1
2484,63599,"n:n","1988 to 1976",1
2485,24832,"n:n","1988 to 1976",1
2485,63491,"n:n","1988 to 1976",1
2485,63492,"n:n","1988 to 1976",1
2485,63599,"n:n","1988 to 1976",1
2491,240,"n:1","1988 to 1976",NA
2499,240,"n:1","1988 to 1976",NA
2512,2512,"1:1","1988 to 1976",NA
2513,2516,"1:1","1988 to 1976",NA
2521,252,"n:1","1988 to 1976",NA
2522,252,"n:1","1988 to 1976",NA
2613,2613,"1:1","1988 to 1976",NA
2631,2631,"1:1","1988 to 1976",NA
2632,2632,"1:1","1988 to 1976",NA
2634,2634,"1:1","1988 to 1976",NA
2641,2640,"n:1","1988 to 1976",NA
2649,2640,"n:1","1988 to 1976",NA
2683,2683,"1:1","1988 to 1976",NA
2721,2711,"1:n","1988 to 1976",18
2721,56291,"n:n","1988 to 1976",18
2721,56292,"n:n","1988 to 1976",18
2721,56293,"n:n","1988 to 1976",18
2721,56299,"n:n","1988 to 1976",18
2722,2712,"1:n","1988 to 1976",18
2722,52321,"n:n","1988 to 1976",18
2724,2714,"1:1","1988 to 1976",NA
2734,2734,"1:1","1988 to 1976",NA
2742,2742,"1:1","1988 to 1976",NA
2783,2783,"1:1","1988 to 1976",NA
2784,2784,"1:1","1988 to 1976",NA
2814,2814,"1:1","1988 to 1976",NA
2815,2815,"1:1","1988 to 1976",NA
2816,2816,"1:1","1988 to 1976",NA
2821,28201,"1:1","1988 to 1976",NA
2831,28711,"1:1","1988 to 1976",NA
2841,28721,"1:1","1988 to 1976",NA
2851,28731,"1:1","1988 to 1976",NA
2852,28732,"1:1","1988 to 1976",NA
2861,2860,"n:1","1988 to 1976",NA
2862,2860,"n:1","1988 to 1976",NA
2874,2874,"1:1","1988 to 1976",NA
2875,2875,"1:1","1988 to 1976",NA
2876,2876,"1:1","1988 to 1976",NA
2877,2877,"1:1","1988 to 1976",NA
2881,2881,"1:1","1988 to 1976",NA
3211,3221,"1:1","1988 to 1976",NA
3221,32311,"1:1","1988 to 1976",NA
3223,3224,"1:n","1988 to 1976",21
3223,32313,"1:n","1988 to 1976",21
3250,32321,"1:n","1988 to 1976",22
3250,32322,"1:n","1988 to 1976",22
3330,3330,"1:1","1988 to 1976",NA
3343,3343,"1:1","1988 to 1976",NA
3344,3344,"1:1","1988 to 1976",NA
3345,33451,"1:1","1988 to 1976",NA
3411,341,"n:1","1988 to 1976",4
3412,341,"n:1","1988 to 1976",4
3413,341,"n:1","1988 to 1976",4
3414,341,"n:1","1988 to 1976",4
3415,341,"n:1","1988 to 1976",4
3416,341,"n:1","1988 to 1976",4
3417,341,"n:1","1988 to 1976",4
3418,341,"n:1","1988 to 1976",4
3419,341,"n:1","1988 to 1976",4
3421,342,"n:1","1988 to 1976",NA
3421,34131,"n:1","1988 to 1976",NA
3422,341,"n:1","1988 to 1976",4
3423,342,"n:1","1988 to 1976",NA
3424,342,"n:1","1988 to 1976",NA
3425,342,"n:1","1988 to 1976",NA
3425,34131,"n:1","1988 to 1976",NA
3426,342,"n:1","1988 to 1976",NA
3427,342,"n:1","1988 to 1976",NA
3428,342,"n:1","1988 to 1976",NA
3429,342,"n:1","1988 to 1976",NA
3431,34139,"n:1","1988 to 1976",NA
3432,3414,"n:1","1988 to 1976",NA
3441,34139,"n:1","1988 to 1976",NA
3442,34139,"n:1","1988 to 1976",NA
3449,3414,"n:1","1988 to 1976",NA
3450,3415,"1:1","1988 to 1976",NA
3451,341,"n:n","1988 to 1976",4
3451,343,"1:n","1988 to 1976",4
3455,342,"n:1","1988 to 1976",NA
3510,3510,"1:1","1988 to 1976",NA
3511,3502,"n:1","1988 to 1976",5
3512,3503,"n:1","1988 to 1976",5
3513,3503,"n:1","1988 to 1976",5
3521,3503,"n:1","1988 to 1976",5
3522,3503,"n:1","1988 to 1976",5
3529,3503,"n:1","1988 to 1976",5
3611,360,"n:1","1988 to 1976",1
3619,360,"n:1","1988 to 1976",1
3631,360,"n:1","1988 to 1976",1
3633,360,"n:1","1988 to 1976",1
3635,19,"n:n","1988 to 1976",1
3635,360,"n:n","1988 to 1976",1
3635,1189,"n:n","1988 to 1976",1
3635,9410,"n:n","1988 to 1976",1
3637,360,"n:1","1988 to 1976",1
3639,129,"n:n","1988 to 1976",1
3639,360,"n:n","1988 to 1976",1
3639,1189,"n:n","1988 to 1976",1
3711,371,"n:n","1988 to 1976",1
3711,9801,"n:n","1988 to 1976",1
3712,371,"n:n","1988 to 1976",1
3712,9801,"n:n","1988 to 1976",1
3713,371,"n:n","1988 to 1976",1
3713,9801,"n:n","1988 to 1976",1
3714,371,"n:n","1988 to 1976",1
3714,9801,"n:n","1988 to 1976",1
3715,371,"n:n","1988 to 1976",1
3715,9801,"n:n","1988 to 1976",1
3716,371,"n:n","1988 to 1976",1
3716,9801,"n:n","1988 to 1976",1
3717,371,"n:1","1988 to 1976",1
3721,372,"n:n","1988 to 1976",1
3721,9801,"n:n","1988 to 1976",1
3722,149,"n:n","1988 to 1976",1
3722,372,"n:n","1988 to 1976",1
3722,9801,"n:n","1988 to 1976",1
4112,913,"1:n","1988 to 1976",1
4112,41139,"n:n","1988 to 1976",1
4218,4312,"n:n","1988 to 1976",1
4218,42392,"n:n","1988 to 1976",1
4225,4245,"n:n","1988 to 1976",1
4225,4312,"n:n","1988 to 1976",1
4231,4221,"1:1","1988 to 1976",NA
4232,4222,"1:1","1988 to 1976",NA
4311,4232,"n:n","1988 to 1976",1
4311,4233,"n:n","1988 to 1976",1
4311,4234,"n:n","1988 to 1976",1
4311,4235,"n:n","1988 to 1976",1
4311,4236,"n:n","1988 to 1976",1
4311,4241,"n:n","1988 to 1976",1
4311,4242,"n:n","1988 to 1976",1
4311,4243,"n:n","1988 to 1976",1
4311,4244,"n:n","1988 to 1976",1
4311,4245,"n:n","1988 to 1976",1
4311,4249,"n:n","1988 to 1976",1
4311,4311,"1:n","1988 to 1976",1
4311,42391,"n:n","1988 to 1976",1
4311,42392,"n:n","1988 to 1976",1
4311,58529,"n:n","1988 to 1976",1
4591,4591,"1:1","1988 to 1976",NA
4592,4599,"n:1","1988 to 1976",NA
4593,4599,"n:1","1988 to 1976",NA
4599,4599,"n:1","1988 to 1976",NA
4711,4701,"n:1","1988 to 1976",NA
4719,4701,"n:1","1988 to 1976",NA
4721,4702,"n:1","1988 to 1976",NA
4722,4702,"n:1","1988 to 1976",NA
4729,4702,"n:1","1988 to 1976",NA
4811,730,"n:n","1988 to 1976",1
4811,4812,"1:n","1988 to 1976",1
4812,730,"n:n","1988 to 1976",1
4812,9809,"n:n","1988 to 1976",1
4813,4811,"n:1","1988 to 1976",NA
4814,4811,"n:1","1988 to 1976",NA
4815,4811,"n:1","1988 to 1976",NA
4841,4841,"n:n","1988 to 1976",1
4841,4842,"n:n","1988 to 1976",1
4842,730,"n:n","1988 to 1976",1
4842,4841,"n:n","1988 to 1976",1
4842,4842,"n:n","1988 to 1976",1
4849,4841,"n:n","1988 to 1976",1
4849,4842,"n:n","1988 to 1976",1
5114,5114,"1:1","1988 to 1976",NA
5155,51551,"1:n","1988 to 1976",26
5155,51559,"1:n","1988 to 1976",26
5158,51571,"1:1","1988 to 1976",NA
5221,52218,"1:1","1988 to 1976",NA
5231,52311,"1:1","1988 to 1976",NA
5421,542,"n:1","1988 to 1976",NA
5422,542,"n:1","1988 to 1976",NA
5423,542,"n:1","1988 to 1976",NA
5424,542,"n:1","1988 to 1976",NA
5425,542,"n:1","1988 to 1976",NA
5429,542,"n:1","1988 to 1976",NA
5451,5451,"n:1","1988 to 1976",NA
5452,5451,"n:1","1988 to 1976",NA
5453,5459,"n:1","1988 to 1976",1
5454,5459,"n:1","1988 to 1976",1
5455,5459,"n:1","1988 to 1976",1
5456,5459,"n:1","1988 to 1976",1
5457,5459,"n:1","1988 to 1976",1
5458,5459,"n:1","1988 to 1976",1
5459,440,"n:n","1988 to 1976",1
5459,751,"n:n","1988 to 1976",1
5459,5459,"n:n","1988 to 1976",1
5461,9809,"n:1","1988 to 1976",1
5469,5461,"n:1","1988 to 1976",1
5481,5481,"n:1","1988 to 1976",NA
5483,5481,"n:1","1988 to 1976",NA
5484,5484,"1:1","1988 to 1976",NA
5485,5488,"n:1","1988 to 1976",6
5487,5482,"n:1","1988 to 1976",NA
5488,5482,"n:1","1988 to 1976",NA
5489,5488,"n:n","1988 to 1976",6
5489,29298,"n:n","1988 to 1976",6
5531,5530,"n:1","1988 to 1976",1
