"code.target","code.source","Relationship","adjustment","group.id"
30721,3635,"n:1","1992 to 1988",31
30729,3639,"n:1","1992 to 1988",32
30731,3635,"n:1","1992 to 1988",31
30739,3639,"n:1","1992 to 1988",32
30741,3633,"n:1","1992 to 1988",33
30749,3637,"n:1","1992 to 1988",34
30751,3633,"n:1","1992 to 1988",33
30759,3637,"n:1","1992 to 1988",34
30760,1293,"1:1","1992 to 1988",NA
30791,3635,"n:1","1992 to 1988",31
30799,3639,"n:1","1992 to 1988",32
40110,2211,"1:1","1992 to 1988",NA
40120,2212,"1:1","1992 to 1988",NA
40130,2213,"1:1","1992 to 1988",NA
40210,2221,"1:1","1992 to 1988",NA
40221,2222,"n:1","1992 to 1988",35
40229,2222,"n:1","1992 to 1988",35
40291,2223,"1:1","1992 to 1988",NA
40299,2224,"1:1","1992 to 1988",NA
40310,2231,"1:1","1992 to 1988",NA
40390,2232,"1:1","1992 to 1988",NA
40410,2241,"1:1","1992 to 1988",NA
40490,2249,"1:1","1992 to 1988",NA
40500,230,"n:1","1992 to 1988",36
40610,2491,"1:1","1992 to 1988",NA
40620,241,"1:1","1992 to 1988",NA
40630,242,"1:1","1992 to 1988",NA
40640,243,"1:1","1992 to 1988",NA
40690,2499,"1:1","1992 to 1988",NA
40700,251,"1:1","1992 to 1988",NA
40811,2521,"n:1","1992 to 1988",37
40819,2522,"n:1","1992 to 1988",38
40891,2521,"n:1","1992 to 1988",37
40899,2522,"n:1","1992 to 1988",38
40900,616,"1:1","1992 to 1988",NA
41000,9892,"1:1","1992 to 1988",NA
50100,29191,"1:1","1992 to 1988",NA
50210,29192,"n:1","1992 to 1988",39
50290,29192,"n:1","1992 to 1988",39
50300,26851,"n:n","1992 to 1988",40
50300,29197,"n:n","1992 to 1988",40
50300,29199,"n:n","1992 to 1988",40
50400,29193,"1:1","1992 to 1988",NA
50510,29195,"n:1","1992 to 1988",41
50590,29195,"n:1","1992 to 1988",41
50610,29111,"n:1","1992 to 1988",42
50690,29111,"n:1","1992 to 1988",42
50710,29116,"n:1","1992 to 1988",43
50790,29116,"n:1","1992 to 1988",43
50800,29115,"1:1","1992 to 1988",NA
50900,26851,"n:n","1992 to 1988",40
50900,29197,"n:n","1992 to 1988",40
50900,29199,"n:n","1992 to 1988",40
51000,29198,"1:1","1992 to 1988",NA
51110,29194,"1:1","1992 to 1988",NA
51191,29196,"1:1","1992 to 1988",NA
51199,26851,"n:n","1992 to 1988",40
51199,29197,"n:n","1992 to 1988",40
51199,29199,"n:n","1992 to 1988",40
60110,29261,"n:1","1992 to 1988",44
