"code.source","code.target","Relationship","adjustment","group.id"
30799,363,"n:1","1992 to 1988",NA
40110,221,"n:1","1992 to 1988",NA
40120,221,"n:1","1992 to 1988",NA
40130,221,"n:1","1992 to 1988",NA
40210,222,"n:1","1992 to 1988",NA
40221,222,"n:1","1992 to 1988",NA
40229,222,"n:1","1992 to 1988",NA
40291,222,"n:1","1992 to 1988",NA
40299,222,"n:1","1992 to 1988",NA
40310,223,"n:1","1992 to 1988",NA
40390,223,"n:1","1992 to 1988",NA
40410,224,"n:1","1992 to 1988",NA
40490,224,"n:1","1992 to 1988",NA
40500,230,"n:1","1992 to 1988",1
40610,249,"n:1","1992 to 1988",NA
40620,241,"1:1","1992 to 1988",NA
40630,242,"1:1","1992 to 1988",NA
40640,243,"1:1","1992 to 1988",NA
40690,249,"n:1","1992 to 1988",NA
40700,251,"1:1","1992 to 1988",NA
40811,252,"n:1","1992 to 1988",NA
40819,252,"n:1","1992 to 1988",NA
40891,252,"n:1","1992 to 1988",NA
40899,252,"n:1","1992 to 1988",NA
40900,616,"1:1","1992 to 1988",NA
41000,989,"n:1","1992 to 1988",1
50100,2919,"n:1","1992 to 1988",2
50210,2919,"n:1","1992 to 1988",2
50290,2919,"n:1","1992 to 1988",2
50300,2685,"n:n","1992 to 1988",2
50300,2919,"n:n","1992 to 1988",2
50400,2919,"n:1","1992 to 1988",2
50510,2919,"n:1","1992 to 1988",2
50590,2919,"n:1","1992 to 1988",2
50610,2911,"n:1","1992 to 1988",NA
50690,2911,"n:1","1992 to 1988",NA
50710,2911,"n:1","1992 to 1988",NA
50790,2911,"n:1","1992 to 1988",NA
50800,2911,"n:1","1992 to 1988",NA
50900,2685,"n:n","1992 to 1988",2
50900,2919,"n:n","1992 to 1988",2
51000,2919,"n:1","1992 to 1988",2
51110,2919,"n:1","1992 to 1988",2
51191,2919,"n:1","1992 to 1988",2
51199,2685,"n:n","1992 to 1988",2
51199,2919,"n:n","1992 to 1988",2
60110,2926,"n:1","1992 to 1988",NA
60120,2926,"n:1","1992 to 1988",NA
60210,2926,"n:1","1992 to 1988",NA
60220,2926,"n:1","1992 to 1988",NA
60230,2926,"n:1","1992 to 1988",NA
60240,2926,"n:1","1992 to 1988",NA
60291,2926,"n:1","1992 to 1988",NA
60299,2926,"n:1","1992 to 1988",NA
60310,2927,"n:1","1992 to 1988",NA
60390,2927,"n:1","1992 to 1988",NA
60410,2927,"n:1","1992 to 1988",NA
60491,2927,"n:1","1992 to 1988",NA
60499,2927,"n:1","1992 to 1988",NA
70110,541,"n:1","1992 to 1988",NA
70190,541,"n:1","1992 to 1988",NA
70200,544,"1:1","1992 to 1988",NA
70310,545,"n:1","1992 to 1988",NA
70320,545,"n:1","1992 to 1988",NA
70390,545,"n:1","1992 to 1988",NA
70410,545,"n:1","1992 to 1988",NA
70420,545,"n:1","1992 to 1988",NA
70490,545,"n:1","1992 to 1988",NA
70511,545,"n:1","1992 to 1988",NA
70519,545,"n:1","1992 to 1988",NA
70521,545,"n:1","1992 to 1988",NA
70529,545,"n:1","1992 to 1988",NA
70610,545,"n:1","1992 to 1988",NA
70690,545,"n:1","1992 to 1988",NA
70700,545,"n:1","1992 to 1988",NA
70810,545,"n:1","1992 to 1988",NA
70820,545,"n:1","1992 to 1988",NA
70890,545,"n:1","1992 to 1988",NA
70910,545,"n:1","1992 to 1988",NA
70920,545,"n:1","1992 to 1988",NA
70930,545,"n:1","1992 to 1988",NA
70940,545,"n:1","1992 to 1988",NA
70951,545,"n:1","1992 to 1988",NA
70952,545,"n:1","1992 to 1988",NA
70960,545,"n:1","1992 to 1988",NA
70970,545,"n:1","1992 to 1988",NA
70990,545,"n:1","1992 to 1988",NA
71010,546,"n:1","1992 to 1988",NA
71021,546,"n:1","1992 to 1988",NA
71022,546,"n:1","1992 to 1988",NA
71029,546,"n:1","1992 to 1988",NA
71030,546,"n:1","1992 to 1988",NA
71040,546,"n:1","1992 to 1988",NA
71080,546,"n:1","1992 to 1988",NA
71090,546,"n:1","1992 to 1988",NA
71110,547,"n:1","1992 to 1988",NA
71120,547,"n:1","1992 to 1988",NA
71130,547,"n:1","1992 to 1988",NA
71140,547,"n:1","1992 to 1988",NA
71190,547,"n:1","1992 to 1988",NA
71210,561,"n:1","1992 to 1988",NA
71220,561,"n:1","1992 to 1988",NA
71230,561,"n:1","1992 to 1988",NA
71290,561,"n:1","1992 to 1988",NA
71310,542,"n:1","1992 to 1988",NA
71320,542,"n:1","1992 to 1988",NA
71331,542,"n:1","1992 to 1988",NA
71332,542,"n:1","1992 to 1988",NA
71333,542,"n:1","1992 to 1988",NA
71339,542,"n:1","1992 to 1988",NA
71340,542,"n:1","1992 to 1988",NA
71350,542,"n:1","1992 to 1988",NA
71390,542,"n:1","1992 to 1988",NA
71410,548,"n:1","1992 to 1988",1
71420,548,"n:1","1992 to 1988",1
71490,548,"n:1","1992 to 1988",1
80110,577,"n:1","1992 to 1988",NA
80120,577,"n:1","1992 to 1988",NA
80130,577,"n:1","1992 to 1988",NA
80211,577,"n:1","1992 to 1988",NA
80212,577,"n:1","1992 to 1988",NA
80221,577,"n:1","1992 to 1988",NA
80222,577,"n:1","1992 to 1988",NA
80231,577,"n:1","1992 to 1988",NA
80232,577,"n:1","1992 to 1988",NA
80240,577,"n:1","1992 to 1988",NA
80250,577,"n:1","1992 to 1988",NA
80290,577,"n:1","1992 to 1988",NA
80300,573,"1:1","1992 to 1988",NA
80410,579,"n:1","1992 to 1988",NA
80420,576,"1:1","1992 to 1988",NA
80430,579,"n:1","1992 to 1988",NA
80440,579,"n:1","1992 to 1988",NA
80450,579,"n:1","1992 to 1988",NA
80510,571,"n:1","1992 to 1988",NA
80520,571,"n:1","1992 to 1988",NA
80530,572,"n:1","1992 to 1988",NA
80540,572,"n:1","1992 to 1988",NA
80590,572,"n:1","1992 to 1988",NA
80610,575,"n:1","1992 to 1988",NA
80620,575,"n:1","1992 to 1988",NA
80710,579,"n:1","1992 to 1988",NA
80720,579,"n:1","1992 to 1988",NA
80810,574,"1:1","1992 to 1988",NA
80820,579,"n:1","1992 to 1988",NA
80910,579,"n:1","1992 to 1988",NA
80920,579,"n:1","1992 to 1988",NA
80930,579,"n:1","1992 to 1988",NA
80940,579,"n:1","1992 to 1988",NA
81010,579,"n:1","1992 to 1988",NA
81020,579,"n:1","1992 to 1988",NA
81030,579,"n:1","1992 to 1988",NA
81040,579,"n:1","1992 to 1988",NA
81090,579,"n:1","1992 to 1988",NA
81110,583,"n:1","1992 to 1988",NA
81120,583,"n:1","1992 to 1988",NA
81190,583,"n:1","1992 to 1988",NA
81210,582,"n:1","1992 to 1988",NA
81220,582,"n:1","1992 to 1988",NA
81290,582,"n:1","1992 to 1988",NA
81310,579,"n:1","1992 to 1988",NA
81320,579,"n:1","1992 to 1988",NA
81330,579,"n:1","1992 to 1988",NA
81340,579,"n:1","1992 to 1988",NA
81350,579,"n:1","1992 to 1988",NA
81400,582,"n:1","1992 to 1988",NA
90111,711,"n:1","1992 to 1988",3
90112,711,"n:1","1992 to 1988",3
90121,712,"n:1","1992 to 1988",NA
90122,712,"n:1","1992 to 1988",NA
90130,711,"n:n","1992 to 1988",3
90130,713,"n:n","1992 to 1988",3
90140,711,"n:n","1992 to 1988",3
90140,713,"n:n","1992 to 1988",3
90210,741,"n:1","1992 to 1988",NA
90220,741,"n:1","1992 to 1988",NA
90230,741,"n:1","1992 to 1988",NA
90240,741,"n:1","1992 to 1988",NA
90300,743,"n:1","1992 to 1988",NA
90411,751,"n:1","1992 to 1988",NA
90412,751,"n:1","1992 to 1988",NA
90420,751,"n:1","1992 to 1988",NA
90500,752,"n:1","1992 to 1988",NA
90610,752,"n:1","1992 to 1988",NA
90620,752,"n:1","1992 to 1988",NA
90700,752,"n:1","1992 to 1988",NA
90810,752,"n:1","1992 to 1988",NA
90820,752,"n:1","1992 to 1988",NA
90830,752,"n:1","1992 to 1988",NA
90910,752,"n:1","1992 to 1988",NA
90920,752,"n:1","1992 to 1988",NA
90930,752,"n:1","1992 to 1988",NA
90940,752,"n:1","1992 to 1988",NA
90950,752,"n:1","1992 to 1988",NA
91010,752,"n:1","1992 to 1988",NA
91020,752,"n:1","1992 to 1988",NA
91030,752,"n:1","1992 to 1988",NA
91040,752,"n:1","1992 to 1988",NA
91050,752,"n:1","1992 to 1988",NA
91091,752,"n:1","1992 to 1988",NA
91099,752,"n:1","1992 to 1988",NA
100110,411,"1:1","1992 to 1988",NA
100190,412,"1:1","1992 to 1988",NA
100200,451,"1:1","1992 to 1988",NA
100300,430,"1:1","1992 to 1988",NA
100400,452,"1:1","1992 to 1988",NA
100510,441,"1:1","1992 to 1988",NA
100590,449,"1:1","1992 to 1988",NA
100610,421,"1:1","1992 to 1988",NA
100620,422,"1:1","1992 to 1988",NA
100630,423,"n:1","1992 to 1988",NA
100640,423,"n:1","1992 to 1988",NA
100700,453,"1:1","1992 to 1988",NA
100810,459,"n:1","1992 to 1988",NA
100820,459,"n:1","1992 to 1988",NA
100830,459,"n:1","1992 to 1988",NA
100890,459,"n:1","1992 to 1988",NA
110100,461,"1:1","1992 to 1988",NA
110210,471,"n:1","1992 to 1988",NA
110220,471,"n:1","1992 to 1988",NA
110230,471,"n:1","1992 to 1988",NA
110290,471,"n:1","1992 to 1988",NA
110311,462,"n:1","1992 to 1988",4
110312,472,"n:1","1992 to 1988",4
110313,472,"n:1","1992 to 1988",4
110314,472,"n:1","1992 to 1988",4
110319,472,"n:1","1992 to 1988",4
110321,462,"n:n","1992 to 1988",4
110321,472,"n:n","1992 to 1988",4
110329,462,"n:n","1992 to 1988",4
110329,472,"n:n","1992 to 1988",4
110411,481,"n:1","1992 to 1988",1
110412,481,"n:1","1992 to 1988",1
110419,481,"n:1","1992 to 1988",1
110421,481,"n:1","1992 to 1988",1
110422,481,"n:1","1992 to 1988",1
110423,481,"n:1","1992 to 1988",1
110429,481,"n:1","1992 to 1988",1
110430,481,"n:1","1992 to 1988",1
110510,564,"n:1","1992 to 1988",NA
110520,564,"n:1","1992 to 1988",NA
110610,564,"n:1","1992 to 1988",NA
110620,564,"n:1","1992 to 1988",NA
110630,564,"n:1","1992 to 1988",NA
110710,482,"n:1","1992 to 1988",NA
110720,482,"n:1","1992 to 1988",NA
110811,5921,"n:1","1992 to 1988",NA
110812,5921,"n:1","1992 to 1988",NA
110813,5921,"n:1","1992 to 1988",NA
110814,5921,"n:1","1992 to 1988",NA
110819,5921,"n:1","1992 to 1988",NA
110820,5921,"n:1","1992 to 1988",NA
110900,5921,"n:1","1992 to 1988",NA
120100,2222,"1:1","1992 to 1988",NA
120210,2221,"n:1","1992 to 1988",NA
120220,2221,"n:1","1992 to 1988",NA
120300,2231,"1:1","1992 to 1988",NA
120400,2234,"1:1","1992 to 1988",NA
120500,2226,"n:1","1992 to 1988",NA
120600,2224,"1:1","1992 to 1988",NA
120710,2227,"n:n","1992 to 1988",5
120710,2232,"n:n","1992 to 1988",5
120710,2235,"n:n","1992 to 1988",5
120710,2237,"n:n","1992 to 1988",5
120720,2223,"1:1","1992 to 1988",NA
120730,2227,"n:n","1992 to 1988",5
120730,2232,"n:n","1992 to 1988",5
120730,2235,"n:n","1992 to 1988",5
120730,2237,"n:n","1992 to 1988",5
120740,2225,"1:1","1992 to 1988",NA
120750,2226,"n:1","1992 to 1988",NA
120760,2227,"n:n","1992 to 1988",5
120760,2232,"n:n","1992 to 1988",5
120760,2235,"n:n","1992 to 1988",5
120760,2237,"n:n","1992 to 1988",5
120791,2227,"n:n","1992 to 1988",5
120791,2232,"n:n","1992 to 1988",5
120791,2235,"n:n","1992 to 1988",5
120791,2237,"n:n","1992 to 1988",5
120792,2227,"n:n","1992 to 1988",5
120792,2232,"n:n","1992 to 1988",5
120792,2235,"n:n","1992 to 1988",5
120792,2237,"n:n","1992 to 1988",5
120799,2227,"n:n","1992 to 1988",5
120799,2232,"n:n","1992 to 1988",5
120799,2235,"n:n","1992 to 1988",5
120799,2237,"n:n","1992 to 1988",5
120810,2239,"n:1","1992 to 1988",NA
120890,2239,"n:1","1992 to 1988",NA
120911,2925,"n:1","1992 to 1988",NA
120919,2925,"n:1","1992 to 1988",NA
120921,2925,"n:1","1992 to 1988",NA
120922,2925,"n:1","1992 to 1988",NA
120923,2925,"n:1","1992 to 1988",NA
120924,2925,"n:1","1992 to 1988",NA
120925,2925,"n:1","1992 to 1988",NA
120926,2925,"n:1","1992 to 1988",NA
120929,2925,"n:1","1992 to 1988",NA
120930,2925,"n:1","1992 to 1988",NA
120991,2925,"n:1","1992 to 1988",NA
120999,2925,"n:1","1992 to 1988",NA
121010,548,"n:1","1992 to 1988",1
121020,548,"n:1","1992 to 1988",1
121110,2924,"n:1","1992 to 1988",NA
121120,2924,"n:1","1992 to 1988",NA
121190,2924,"n:1","1992 to 1988",NA
121210,548,"n:1","1992 to 1988",1
121220,2929,"n:1","1992 to 1988",1
121230,548,"n:1","1992 to 1988",1
121291,548,"n:1","1992 to 1988",1
121292,548,"n:1","1992 to 1988",1
121299,548,"n:1","1992 to 1988",1
121300,811,"n:1","1992 to 1988",NA
121410,811,"n:1","1992 to 1988",NA
121490,811,"n:1","1992 to 1988",NA
130110,2922,"n:1","1992 to 1988",NA
130120,2922,"n:1","1992 to 1988",NA
