"code.source","code.target","Relationship","adjustment","group.id"
10121,10110,"n:n","2012 to 2007",1
10129,10190,"n:n","2012 to 2007",1
10130,10110,"n:n","2012 to 2007",1
10130,10190,"n:n","2012 to 2007",1
10190,10190,"n:n","2012 to 2007",1
10221,10210,"n:n","2012 to 2007",2
10229,10290,"n:n","2012 to 2007",2
10231,10210,"n:n","2012 to 2007",2
10239,10290,"n:n","2012 to 2007",2
10290,10210,"n:n","2012 to 2007",2
10290,10290,"n:n","2012 to 2007",2
10310,10310,"1:1","2012 to 2007",NA
10391,10391,"1:1","2012 to 2007",NA
10392,10392,"1:1","2012 to 2007",NA
10410,10410,"1:1","2012 to 2007",NA
10420,10420,"1:1","2012 to 2007",NA
10511,10511,"1:1","2012 to 2007",NA
10512,10512,"1:1","2012 to 2007",NA
10513,10519,"n:1","2012 to 2007",NA
10514,10519,"n:1","2012 to 2007",NA
10515,10519,"n:1","2012 to 2007",NA
10594,10594,"1:1","2012 to 2007",NA
10599,10599,"1:1","2012 to 2007",NA
10611,10611,"1:1","2012 to 2007",NA
10612,10612,"n:n","2012 to 2007",3
10612,10619,"n:n","2012 to 2007",3
10613,10619,"n:n","2012 to 2007",3
10614,10619,"n:n","2012 to 2007",3
10619,10619,"n:n","2012 to 2007",3
10620,10620,"1:1","2012 to 2007",NA
10631,10631,"1:1","2012 to 2007",NA
10632,10632,"1:1","2012 to 2007",NA
10633,10639,"n:1","2012 to 2007",NA
10639,10639,"n:1","2012 to 2007",NA
10641,10690,"n:1","2012 to 2007",NA
10649,10690,"n:1","2012 to 2007",NA
10690,10690,"n:1","2012 to 2007",NA
20110,20110,"1:1","2012 to 2007",NA
20120,20120,"1:1","2012 to 2007",NA
20130,20130,"1:1","2012 to 2007",NA
20210,20210,"1:1","2012 to 2007",NA
20220,20220,"1:1","2012 to 2007",NA
20230,20230,"1:1","2012 to 2007",NA
20311,20311,"1:1","2012 to 2007",NA
20312,20312,"1:1","2012 to 2007",NA
20319,20319,"1:1","2012 to 2007",NA
20321,20321,"1:1","2012 to 2007",NA
20322,20322,"1:1","2012 to 2007",NA
20329,20329,"1:1","2012 to 2007",NA
20410,20410,"1:1","2012 to 2007",NA
20421,20421,"1:1","2012 to 2007",NA
20422,20422,"1:1","2012 to 2007",NA
20423,20423,"1:1","2012 to 2007",NA
20430,20430,"1:1","2012 to 2007",NA
20441,20441,"1:1","2012 to 2007",NA
20442,20442,"1:1","2012 to 2007",NA
20443,20443,"1:1","2012 to 2007",NA
20450,20450,"1:1","2012 to 2007",NA
20500,20500,"1:1","2012 to 2007",NA
20610,20610,"1:1","2012 to 2007",NA
20621,20621,"1:1","2012 to 2007",NA
20622,20622,"1:1","2012 to 2007",NA
20629,20629,"1:1","2012 to 2007",NA
20630,20630,"1:1","2012 to 2007",NA
20641,20641,"1:1","2012 to 2007",NA
20649,20649,"1:1","2012 to 2007",NA
20680,20680,"1:1","2012 to 2007",NA
20690,20690,"1:1","2012 to 2007",NA
20711,20711,"1:1","2012 to 2007",NA
20712,20712,"1:1","2012 to 2007",NA
20713,20713,"1:1","2012 to 2007",NA
20714,20714,"1:1","2012 to 2007",NA
20724,20724,"1:1","2012 to 2007",NA
20725,20725,"1:1","2012 to 2007",NA
20726,20726,"1:1","2012 to 2007",NA
20727,20727,"1:1","2012 to 2007",NA
