"code.source","code.target","Relationship","adjustment","group.id"
30281,30281,"1:1","2022 to 2017",NA
30282,30282,"1:1","2022 to 2017",NA
30283,30283,"1:1","2022 to 2017",NA
30284,30284,"1:1","2022 to 2017",NA
30285,30285,"1:1","2022 to 2017",NA
30289,30289,"1:1","2022 to 2017",NA
30291,30291,"1:1","2022 to 2017",NA
30292,30292,"1:1","2022 to 2017",NA
30299,30299,"1:1","2022 to 2017",NA
30311,30311,"1:1","2022 to 2017",NA
30312,30312,"1:1","2022 to 2017",NA
30313,30313,"1:1","2022 to 2017",NA
30314,30314,"1:1","2022 to 2017",NA
30319,30319,"1:1","2022 to 2017",NA
30323,30323,"1:1","2022 to 2017",NA
30324,30324,"1:1","2022 to 2017",NA
30325,30325,"1:1","2022 to 2017",NA
30326,30326,"1:1","2022 to 2017",NA
30329,30329,"1:1","2022 to 2017",NA
30331,30331,"1:1","2022 to 2017",NA
30332,30332,"1:1","2022 to 2017",NA
30333,30333,"1:1","2022 to 2017",NA
30334,30334,"1:1","2022 to 2017",NA
30339,30339,"1:1","2022 to 2017",NA
30341,30341,"1:1","2022 to 2017",NA
30342,30342,"1:1","2022 to 2017",NA
30343,30343,"1:1","2022 to 2017",NA
30344,30344,"1:1","2022 to 2017",NA
30345,30345,"1:1","2022 to 2017",NA
30346,30346,"1:1","2022 to 2017",NA
30349,30349,"1:1","2022 to 2017",NA
30351,30351,"1:1","2022 to 2017",NA
30353,30353,"1:1","2022 to 2017",NA
30354,30354,"1:1","2022 to 2017",NA
30355,30355,"1:1","2022 to 2017",NA
30356,30356,"1:1","2022 to 2017",NA
30357,30357,"1:1","2022 to 2017",NA
30359,30359,"1:1","2022 to 2017",NA
30363,30363,"1:1","2022 to 2017",NA
30364,30364,"1:1","2022 to 2017",NA
30365,30365,"1:1","2022 to 2017",NA
30366,30366,"1:1","2022 to 2017",NA
30367,30367,"1:1","2022 to 2017",NA
30368,30368,"1:1","2022 to 2017",NA
30369,30369,"1:1","2022 to 2017",NA
30381,30381,"1:1","2022 to 2017",NA
30382,30382,"1:1","2022 to 2017",NA
30383,30383,"1:1","2022 to 2017",NA
30384,30384,"1:1","2022 to 2017",NA
30389,30389,"1:1","2022 to 2017",NA
30391,30391,"1:1","2022 to 2017",NA
30392,30392,"1:1","2022 to 2017",NA
30399,30399,"1:1","2022 to 2017",NA
30431,30431,"1:1","2022 to 2017",NA
30432,30432,"1:1","2022 to 2017",NA
30433,30433,"1:1","2022 to 2017",NA
30439,30439,"1:1","2022 to 2017",NA
30441,30441,"1:1","2022 to 2017",NA
30442,30442,"1:1","2022 to 2017",NA
30443,30443,"1:1","2022 to 2017",NA
30444,30444,"1:1","2022 to 2017",NA
30445,30445,"1:1","2022 to 2017",NA
30446,30446,"1:1","2022 to 2017",NA
30447,30447,"1:1","2022 to 2017",NA
30448,30448,"1:1","2022 to 2017",NA
30449,30449,"1:1","2022 to 2017",NA
30451,30451,"1:1","2022 to 2017",NA
30452,30452,"1:1","2022 to 2017",NA
30453,30453,"1:1","2022 to 2017",NA
30454,30454,"1:1","2022 to 2017",NA
30455,30455,"1:1","2022 to 2017",NA
30456,30456,"1:1","2022 to 2017",NA
30457,30457,"1:1","2022 to 2017",NA
30459,30459,"1:1","2022 to 2017",NA
30461,30461,"1:1","2022 to 2017",NA
30462,30462,"1:1","2022 to 2017",NA
30463,30463,"1:1","2022 to 2017",NA
30469,30469,"1:1","2022 to 2017",NA
30471,30471,"1:1","2022 to 2017",NA
30472,30472,"1:1","2022 to 2017",NA
30473,30473,"1:1","2022 to 2017",NA
30474,30474,"1:1","2022 to 2017",NA
30475,30475,"1:1","2022 to 2017",NA
30479,30479,"1:1","2022 to 2017",NA
30481,30481,"1:1","2022 to 2017",NA
30482,30482,"1:1","2022 to 2017",NA
30483,30483,"1:1","2022 to 2017",NA
30484,30484,"1:1","2022 to 2017",NA
30485,30485,"1:1","2022 to 2017",NA
30486,30486,"1:1","2022 to 2017",NA
30487,30487,"1:1","2022 to 2017",NA
30488,30488,"1:1","2022 to 2017",NA
30489,30489,"1:1","2022 to 2017",NA
30491,30491,"1:1","2022 to 2017",NA
30492,30492,"1:1","2022 to 2017",NA
30493,30493,"1:1","2022 to 2017",NA
30494,30494,"1:1","2022 to 2017",NA
