"code.target","code.source","Relationship","adjustment","group.id"
3502,312,"n:1","1976 to 1962",9
3503,312,"n:1","1976 to 1962",9
3504,312,"n:1","1976 to 1962",9
3510,3510,"1:1","1976 to 1962",NA
4211,421,"n:1","1976 to 1962",11
4212,421,"n:1","1976 to 1962",11
4221,422,"n:1","1976 to 1962",12
4222,422,"n:1","1976 to 1962",12
4232,4212,"1:1","1976 to 1962",NA
4233,4213,"1:1","1976 to 1962",NA
4234,4214,"1:1","1976 to 1962",NA
4235,4215,"1:1","1976 to 1962",NA
4236,4216,"1:1","1976 to 1962",NA
4241,4221,"1:1","1976 to 1962",NA
4242,4222,"1:1","1976 to 1962",NA
4243,4223,"1:1","1976 to 1962",NA
4244,4224,"1:1","1976 to 1962",NA
4245,4225,"1:1","1976 to 1962",NA
4249,4229,"n:1","1976 to 1962",57
4311,4311,"1:1","1976 to 1962",NA
4312,4312,"1:1","1976 to 1962",NA
4591,459,"n:1","1976 to 1962",13
4592,459,"n:1","1976 to 1962",13
4599,459,"n:1","1976 to 1962",13
4601,4601,"1:1","1976 to 1962",NA
4602,4602,"1:1","1976 to 1962",NA
4701,4701,"1:1","1976 to 1962",NA
4702,4702,"1:1","1976 to 1962",NA
4811,4811,"1:1","1976 to 1962",NA
4812,4812,"1:1","1976 to 1962",NA
4841,4841,"1:n","1976 to 1962",NA
4841,4883,"1:n","1976 to 1962",NA
4842,4842,"1:1","1976 to 1962",NA
5114,51214,"1:1","1976 to 1962",NA
5122,51223,"1:1","1976 to 1962",NA
5139,51253,"1:1","1976 to 1962",NA
5145,51271,"1:1","1976 to 1962",NA
5146,51272,"1:1","1976 to 1962",NA
5147,51274,"n:1","1976 to 1962",64
5154,51281,"1:1","1976 to 1962",NA
5241,5151,"1:1","1976 to 1962",NA
5311,53101,"n:1","1976 to 1962",71
5323,5323,"1:1","1976 to 1962",NA
5331,5331,"1:1","1976 to 1962",NA
5332,5332,"1:1","1976 to 1962",NA
5411,5411,"1:1","1976 to 1962",NA
5414,5414,"1:1","1976 to 1962",NA
5451,545,"n:1","1976 to 1962",14
5459,545,"n:1","1976 to 1962",14
5461,5461,"1:1","1976 to 1962",NA
5462,5462,"1:1","1976 to 1962",NA
5481,5481,"1:1","1976 to 1962",NA
5482,5482,"1:1","1976 to 1962",NA
5484,5484,"1:1","1976 to 1962",NA
5488,5483,"1:n","1976 to 1962",NA
5488,5489,"1:n","1976 to 1962",NA
5513,5511,"1:n","1976 to 1962",NA
5513,55121,"1:n","1976 to 1962",NA
5513,55122,"1:n","1976 to 1962",NA
5514,55123,"1:1","1976 to 1962",NA
5530,5530,"1:n","1976 to 1962",NA
5530,55124,"1:n","1976 to 1962",NA
5541,5541,"1:1","1976 to 1962",NA
5542,5542,"1:1","1976 to 1962",NA
5543,5543,"1:1","1976 to 1962",NA
5643,5543,"1:1","1976 to 1962",NA
5645,5545,"1:1","1976 to 1962",NA
5649,5541,"1:n","1976 to 1962",NA
5649,5542,"1:n","1976 to 1962",NA
5649,5544,"1:n","1976 to 1962",NA
5651,5551,"1:1","1976 to 1962",NA
5659,5552,"n:1","1976 to 1962",3
5711,511,"n:1","1976 to 1962",15
5712,511,"n:1","1976 to 1962",15
5721,512,"n:1","1976 to 1962",16
5722,512,"n:1","1976 to 1962",16
5722,57121,"1:n","1976 to 1962",16
5722,57122,"1:n","1976 to 1962",16
5723,5713,"1:1","1976 to 1962",NA
5729,512,"n:1","1976 to 1962",16
5751,515,"1:1","1976 to 1962",NA
5752,5203,"1:1","1976 to 1962",NA
5771,5171,"n:1","1976 to 1962",18
5772,5171,"n:1","1976 to 1962",18
5773,5171,"n:1","1976 to 1962",18
5774,5172,"n:1","1976 to 1962",19
5775,5172,"n:1","1976 to 1962",19
5779,5172,"n:1","1976 to 1962",19
5792,5192,"1:1","1976 to 1962",NA
5793,5193,"1:1","1976 to 1962",NA
5794,5194,"1:1","1976 to 1962",NA
5795,5195,"n:n","1976 to 1962",17
5795,5201,"n:n","1976 to 1962",17
5796,5195,"n:n","1976 to 1962",17
5796,5201,"n:n","1976 to 1962",17
5797,5195,"n:n","1976 to 1962",17
5797,5201,"n:n","1976 to 1962",17
5798,5199,"1:1","1976 to 1962",NA
5799,5209,"1:1","1976 to 1962",NA
5827,5811,"n:1","1976 to 1962",80
5828,5811,"n:1","1976 to 1962",80
5829,5811,"n:1","1976 to 1962",80
5837,5812,"n:1","1976 to 1962",81
5838,5812,"n:1","1976 to 1962",81
5839,5812,"n:1","1976 to 1962",81
5841,58132,"n:1","1976 to 1962",82
5851,535,"n:1","1976 to 1962",20
5851,58192,"1:1","1976 to 1962",NA
5852,535,"n:1","1976 to 1962",20
5853,535,"n:1","1976 to 1962",20
5854,535,"n:1","1976 to 1962",20
5855,535,"n:1","1976 to 1962",20
5857,535,"n:1","1976 to 1962",20
5858,535,"n:1","1976 to 1962",20
5861,5361,"1:1","1976 to 1962",NA
5862,5362,"1:1","1976 to 1962",NA
5863,5363,"1:1","1976 to 1962",NA
5864,5364,"1:1","1976 to 1962",NA
5891,539,"n:1","1976 to 1962",21
5899,539,"n:1","1976 to 1962",21
5911,5992,"n:1","1976 to 1962",84
5912,5992,"n:1","1976 to 1962",84
5913,5992,"n:1","1976 to 1962",84
5982,59975,"1:1","1976 to 1962",NA
6112,6112,"1:1","1976 to 1962",NA
6113,6113,"1:1","1976 to 1962",NA
6114,6114,"1:1","1976 to 1962",NA
6115,61191,"1:1","1976 to 1962",NA
6121,6121,"1:1","1976 to 1962",NA
6122,6122,"1:1","1976 to 1962",NA
6123,6123,"1:1","1976 to 1962",NA
6129,6129,"1:1","1976 to 1962",NA
6130,6130,"1:1","1976 to 1962",NA
6201,6201,"1:1","1976 to 1962",NA
6202,6202,"1:1","1976 to 1962",NA
6251,6291,"n:1","1976 to 1962",86
6252,6291,"n:1","1976 to 1962",86
6253,6291,"n:1","1976 to 1962",86
6254,6291,"n:1","1976 to 1962",86
6281,6293,"1:1","1976 to 1962",NA
6282,6294,"1:1","1976 to 1962",NA
6341,6311,"1:1","1976 to 1962",NA
6342,63121,"n:1","1976 to 1962",87
6351,6321,"1:1","1976 to 1962",NA
6352,6322,"1:n","1976 to 1962",NA
6352,63182,"1:n","1976 to 1962",NA
6353,6324,"1:1","1976 to 1962",NA
6411,6411,"1:1","1976 to 1962",NA
6421,64211,"1:n","1976 to 1962",NA
6421,64212,"1:n","1976 to 1962",NA
6422,6422,"1:1","1976 to 1962",NA
6423,6423,"1:1","1976 to 1962",NA
6532,65352,"n:1","1976 to 1962",108
6536,65362,"n:1","1976 to 1962",110
6541,65311,"1:n","1976 to 1962",NA
6541,65312,"1:n","1976 to 1962",NA
6544,65331,"1:1","1976 to 1962",NA
6545,6534,"1:n","1976 to 1962",112
6545,65394,"n:n","1976 to 1962",112
6546,6538,"1:1","1976 to 1962",NA
6551,6537,"n:1","1976 to 1962",113
6553,84145,"n:1","1976 to 1962",114
6571,6551,"n:1","1976 to 1962",115
6572,65541,"1:1","1976 to 1962",NA
6574,6555,"1:1","1976 to 1962",NA
6581,6561,"1:1","1976 to 1962",NA
6593,6576,"n:1","1976 to 1962",121
6597,6578,"1:n","1976 to 1962",NA
