code.after,code.before,Relationship,adjustment
2667,2662,n:1,1976 to 1962
2671,2663,1:1,1976 to 1962
2672,2664,1:1,1976 to 1962
2681,2621,1:1,1976 to 1962
2682,2622,1:1,1976 to 1962
2683,2623,1:1,1976 to 1962
2685,2625,1:1,1976 to 1962
2686,2629,1:n,1976 to 1962
2686,2626,1:n,1976 to 1962
2687,2627,1:1,1976 to 1962
2690,2670,1:1,1976 to 1962
2711,2711,1:1,1976 to 1962
2712,2712,1:1,1976 to 1962
2713,2713,1:1,1976 to 1962
2714,2714,1:1,1976 to 1962
2731,2731,1:1,1976 to 1962
2732,2732,1:1,1976 to 1962
2733,2733,1:1,1976 to 1962
2734,2734,1:1,1976 to 1962
2741,2741,1:1,1976 to 1962
2742,2742,1:1,1976 to 1962
2771,2751,1:1,1976 to 1962
2772,2752,n:1,1976 to 1962
2782,2762,1:1,1976 to 1962
2783,2763,1:1,1976 to 1962
2784,2764,1:1,1976 to 1962
2785,2765,1:1,1976 to 1962
2786,2766,1:1,1976 to 1962
2789,2769,1:n,1976 to 1962
2789,2752,n:n,1976 to 1962
2789,2761,1:n,1976 to 1962
2814,2814,1:1,1976 to 1962
2815,2813,n:1,1976 to 1962
2816,2813,n:1,1976 to 1962
2820,2820,1:1,1976 to 1962
2860,2860,1:1,1976 to 1962
2871,2831,1:n,1976 to 1962
2871,6821,n:n,1976 to 1962
2872,2832,1:1,1976 to 1962
2873,2833,1:n,1976 to 1962
2873,5136,n:n,1976 to 1962
2874,2834,1:1,1976 to 1962
2875,2835,1:1,1976 to 1962
2876,2836,1:1,1976 to 1962
2877,2837,1:1,1976 to 1962
2879,2839,1:1,1976 to 1962
2881,2840,n:1,1976 to 1962
2882,2840,n:1,1976 to 1962
2890,2850,1:1,1976 to 1962
2911,2911,1:1,1976 to 1962
2919,2919,n:1,1976 to 1962
2922,2922,1:1,1976 to 1962
2923,2923,1:1,1976 to 1962
2924,2924,1:1,1976 to 1962
2925,2925,1:1,1976 to 1962
2926,2926,1:1,1976 to 1962
2927,2927,1:1,1976 to 1962
2929,2929,1:n,1976 to 1962
2929,2921,1:n,1976 to 1962
3221,3214,n:1,1976 to 1962
3222,3214,n:1,1976 to 1962
3223,3216,n:1,1976 to 1962
3224,3217,n:1,1976 to 1962
3231,3215,1:n,1976 to 1962
3231,3216,n:n,1976 to 1962
3231,3217,n:n,1976 to 1962
3232,3218,1:n,1976 to 1962
3232,5132,n:n,1976 to 1962
3330,3310,n:1,1976 to 1962
3341,3321,1:n,1976 to 1962
3341,3322,n:n,1976 to 1962
3342,3322,n:1,1976 to 1962
3343,3323,1:1,1976 to 1962
3344,3310,n:n,1976 to 1962
3344,3324,1:n,1976 to 1962
3345,3325,1:n,1976 to 1962
3345,3329,n:n,1976 to 1962
3351,3326,1:1,1976 to 1962
3352,5211,1:n,1976 to 1962
3352,5214,1:n,1976 to 1962
3353,3329,n:1,1976 to 1962
3354,3329,n:1,1976 to 1962
3413,3411,n:1,1976 to 1962
3414,3411,n:1,1976 to 1962
3415,3412,1:1,1976 to 1962
3510,3510,1:1,1976 to 1962
4111,4111,1:1,1976 to 1962
4113,4113,n:1,1976 to 1962
4232,4212,1:1,1976 to 1962
4233,4213,1:1,1976 to 1962
4234,4214,1:1,1976 to 1962
4235,4215,1:1,1976 to 1962
4236,4216,1:1,1976 to 1962
4239,4217,1:n,1976 to 1962
4239,4229,n:n,1976 to 1962
4241,4221,1:1,1976 to 1962
4242,4222,1:1,1976 to 1962
4243,4223,1:1,1976 to 1962
4244,4224,1:1,1976 to 1962
4245,4225,1:1,1976 to 1962
4249,4229,n:1,1976 to 1962
4311,4311,1:1,1976 to 1962
4312,4312,1:1,1976 to 1962
4313,4313,1:n,1976 to 1962
4313,4113,n:n,1976 to 1962
4314,4314,1:1,1976 to 1962
5111,5121,n:1,1976 to 1962
5112,5121,n:1,1976 to 1962
5113,5121,n:1,1976 to 1962
5114,5121,n:1,1976 to 1962
5121,5122,n:1,1976 to 1962
5122,5122,n:1,1976 to 1962
5123,5122,n:1,1976 to 1962
5137,5125,n:1,1976 to 1962
5138,5125,n:1,1976 to 1962
5139,5125,n:1,1976 to 1962
5145,5127,n:1,1976 to 1962
5146,5127,n:1,1976 to 1962
5147,5127,n:1,1976 to 1962
5148,5127,n:1,1976 to 1962
5154,5128,n:1,1976 to 1962
5155,5128,n:1,1976 to 1962
5156,5128,n:1,1976 to 1962
5157,5128,n:1,1976 to 1962
5161,5123,1:1,1976 to 1962
5162,5124,1:1,1976 to 1962
5163,5126,1:1,1976 to 1962
5169,5129,1:1,1976 to 1962
5221,5131,1:n,1976 to 1962
5221,5132,n:n,1976 to 1962
5222,5133,1:1,1976 to 1962
5223,5134,1:1,1976 to 1962
5224,5135,1:n,1976 to 1962
5224,5136,n:n,1976 to 1962
5225,5136,n:1,1976 to 1962
5231,5141,n:n,1976 to 1962
5231,5142,n:n,1976 to 1962
5232,5142,n:n,1976 to 1962
5232,5143,n:n,1976 to 1962
5232,5141,n:n,1976 to 1962
5233,5143,n:1,1976 to 1962
5239,5149,1:1,1976 to 1962
5241,5151,1:1,1976 to 1962
5249,5152,1:n,1976 to 1962
5249,5153,1:n,1976 to 1962
5311,5310,n:1,1976 to 1962
5312,5310,n:1,1976 to 1962
5322,5324,1:n,1976 to 1962
5322,5325,1:n,1976 to 1962
5322,5321,1:n,1976 to 1962
5323,5323,1:1,1976 to 1962
5331,5331,1:1,1976 to 1962
5332,5332,1:1,1976 to 1962
5334,5333,n:1,1976 to 1962
5335,5333,n:1,1976 to 1962
5411,5411,1:1,1976 to 1962
5413,5413,1:1,1976 to 1962
5414,5414,1:1,1976 to 1962
5415,5415,1:1,1976 to 1962
5416,5416,1:1,1976 to 1962
5417,5417,1:1,1976 to 1962
5419,5419,1:1,1976 to 1962
5513,5511,1:n,1976 to 1962
5513,5512,n:n,1976 to 1962
5514,5512,n:1,1976 to 1962
5530,5512,n:n,1976 to 1962
5530,5530,1:n,1976 to 1962
5541,5541,1:1,1976 to 1962
5542,5542,1:1,1976 to 1962
5543,5543,1:1,1976 to 1962
5621,5127,n:n,1976 to 1962
5621,5611,1:n,1976 to 1962
5622,5612,1:1,1976 to 1962
5623,5613,1:1,1976 to 1962
5629,5619,1:1,1976 to 1962
5721,5711,1:1,1976 to 1962
5722,5712,1:1,1976 to 1962
5723,5713,1:1,1976 to 1962
5821,5811,n:1,1976 to 1962
5822,5811,n:1,1976 to 1962
5823,5811,n:1,1976 to 1962
5824,5811,n:1,1976 to 1962
5825,5811,n:1,1976 to 1962
5826,5811,n:1,1976 to 1962
5827,5811,n:1,1976 to 1962
5828,5811,n:1,1976 to 1962
5829,5811,n:1,1976 to 1962
5831,5812,n:1,1976 to 1962
5832,5812,n:1,1976 to 1962
5833,5812,n:1,1976 to 1962
5834,5812,n:1,1976 to 1962
5835,5812,n:1,1976 to 1962
5836,5812,n:1,1976 to 1962
5837,5812,n:1,1976 to 1962
5838,5812,n:1,1976 to 1962
