,code.before,code.after,Relationship,adjustment
159,314110,314110,1:1,2007 to 2012
160,314121,314120,n:1,2007 to 2012
161,314129,314120,n:1,2007 to 2012
162,314911,314910,n:1,2007 to 2012
163,314912,314910,n:1,2007 to 2012
164,314991,314994,n:1,2007 to 2012
165,314992,314994,n:1,2007 to 2012
166,314999,314999,1:1,2007 to 2012
167,315111,315110,n:1,2007 to 2012
168,315119,315110,n:1,2007 to 2012
169,315191,315190,n:1,2007 to 2012
170,315192,315190,n:1,2007 to 2012
171,315211,315210,n:1,2007 to 2012
172,315212,315210,n:1,2007 to 2012
173,315221,315220,n:1,2007 to 2012
174,315222,315220,n:1,2007 to 2012
175,315223,315220,n:1,2007 to 2012
176,315224,315220,n:1,2007 to 2012
177,315225,315220,n:1,2007 to 2012
178,315228,315220,n:1,2007 to 2012
179,315231,315240,n:1,2007 to 2012
180,315232,315240,n:1,2007 to 2012
181,315233,315240,n:1,2007 to 2012
182,315234,315240,n:1,2007 to 2012
183,315239,315240,n:1,2007 to 2012
184,315291,315240,n:1,2007 to 2012
185,315292,315280,n:1,2007 to 2012
186,315299,315280,n:1,2007 to 2012
187,315991,315990,n:1,2007 to 2012
188,315992,315990,n:1,2007 to 2012
189,315993,315990,n:1,2007 to 2012
190,315999,315990,n:1,2007 to 2012
191,316110,316110,1:1,2007 to 2012
192,316211,316210,n:1,2007 to 2012
193,316212,316210,n:1,2007 to 2012
194,316213,316210,n:1,2007 to 2012
195,316214,316210,n:1,2007 to 2012
196,316219,316210,n:1,2007 to 2012
197,316992,316992,1:1,2007 to 2012
198,316991,316998,n:1,2007 to 2012
199,316993,316998,n:1,2007 to 2012
200,316999,316998,n:1,2007 to 2012
201,321113,321113,1:1,2007 to 2012
202,321114,321114,1:1,2007 to 2012
203,321211,321211,1:1,2007 to 2012
204,321212,321212,1:1,2007 to 2012
205,321213,321213,1:1,2007 to 2012
206,321214,321214,1:1,2007 to 2012
207,321219,321219,1:1,2007 to 2012
208,321911,321911,1:1,2007 to 2012
209,321912,321912,1:1,2007 to 2012
210,321918,321918,1:1,2007 to 2012
211,321920,321920,1:1,2007 to 2012
212,321991,321991,1:1,2007 to 2012
213,321992,321992,1:1,2007 to 2012
214,321999,321999,n:1,2007 to 2012
215,337129,321999,n:1,2007 to 2012
216,322110,322110,1:1,2007 to 2012
217,322121,322121,1:1,2007 to 2012
218,322122,322122,1:1,2007 to 2012
219,322130,322130,1:1,2007 to 2012
220,322211,322211,1:1,2007 to 2012
221,322212,322212,1:1,2007 to 2012
222,322213,322219,n:1,2007 to 2012
223,322214,322219,n:1,2007 to 2012
224,322215,322219,n:1,2007 to 2012
225,322221,322220,n:1,2007 to 2012
226,322222,322220,n:1,2007 to 2012
227,322223,322220,n:1,2007 to 2012
228,322224,322220,n:1,2007 to 2012
229,322225,322220,n:1,2007 to 2012
230,322226,322220,n:1,2007 to 2012
231,322231,322230,n:1,2007 to 2012
232,322232,322230,n:1,2007 to 2012
233,322233,322230,n:1,2007 to 2012
234,322291,322291,1:1,2007 to 2012
235,322299,322299,1:1,2007 to 2012
236,323110,323111,n:1,2007 to 2012
237,323111,323111,n:1,2007 to 2012
238,323112,323111,n:1,2007 to 2012
239,323114,323111,n:1,2007 to 2012
240,323115,323111,n:1,2007 to 2012
241,323116,323111,n:1,2007 to 2012
242,323118,323111,n:1,2007 to 2012
243,323119,323111,n:1,2007 to 2012
244,323113,323113,1:1,2007 to 2012
245,323117,323117,1:1,2007 to 2012
246,323121,323120,n:1,2007 to 2012
247,323122,323120,n:1,2007 to 2012
248,324110,324110,1:1,2007 to 2012
249,324121,324121,1:1,2007 to 2012
250,324122,324122,1:1,2007 to 2012
251,324191,324191,1:1,2007 to 2012
252,324199,324199,1:1,2007 to 2012
253,325110,325110,1:1,2007 to 2012
254,325120,325120,1:1,2007 to 2012
255,325131,325130,n:1,2007 to 2012
256,325132,325130,n:1,2007 to 2012
257,325181,325180,n:1,2007 to 2012
258,325182,325180,n:1,2007 to 2012
259,325188,325180,n:1,2007 to 2012
260,325193,325193,1:1,2007 to 2012
261,325191,325194,n:1,2007 to 2012
262,325192,325194,n:1,2007 to 2012
263,325199,325199,1:1,2007 to 2012
264,325211,325211,1:1,2007 to 2012
265,325212,325212,1:1,2007 to 2012
266,325221,325220,n:1,2007 to 2012
267,325222,325220,n:1,2007 to 2012
268,325311,325311,1:1,2007 to 2012
269,325312,325312,1:1,2007 to 2012
270,325314,325314,1:1,2007 to 2012
271,325320,325320,1:1,2007 to 2012
272,325411,325411,1:1,2007 to 2012
273,325412,325412,1:1,2007 to 2012
274,325413,325413,1:1,2007 to 2012
275,325414,325414,1:1,2007 to 2012
276,325510,325510,1:1,2007 to 2012
277,325520,325520,1:1,2007 to 2012
278,325611,325611,1:1,2007 to 2012
279,325612,325612,1:1,2007 to 2012
280,325613,325613,1:1,2007 to 2012
281,325620,325620,1:1,2007 to 2012
282,325910,325910,1:1,2007 to 2012
283,325920,325920,1:1,2007 to 2012
284,325991,325991,1:1,2007 to 2012
285,325992,325992,1:1,2007 to 2012
286,325998,325998,1:1,2007 to 2012
287,326111,326111,1:1,2007 to 2012
288,326112,326112,1:1,2007 to 2012
289,326113,326113,1:1,2007 to 2012
290,326121,326121,1:1,2007 to 2012
291,326122,326122,1:1,2007 to 2012
292,326130,326130,1:1,2007 to 2012
293,326140,326140,1:1,2007 to 2012
294,326150,326150,1:1,2007 to 2012
295,326160,326160,1:1,2007 to 2012
296,326191,326191,1:1,2007 to 2012
297,326192,326199,n:1,2007 to 2012
298,326199,326199,n:1,2007 to 2012
299,326211,326211,1:1,2007 to 2012
300,326212,326212,1:1,2007 to 2012
301,326220,326220,1:1,2007 to 2012
302,326291,326291,1:1,2007 to 2012
303,326299,326299,1:1,2007 to 2012
304,327111,327110,n:1,2007 to 2012
305,327112,327110,n:1,2007 to 2012
306,327113,327110,n:1,2007 to 2012
307,327121,327120,n:1,2007 to 2012
